@relation 'functionality-weka.filters.unsupervised.attribute.Remove-V-R117,119,155,226,249,545,608,623,687,722,913,1076,1097,1104,1118,1128,1167,1224,1270,1278,1573,1644,1743,1836-1837,1844,2270,2326,2333,2360,2365,2447,2463,2484,2561,2572,2689,2722,2809,2966,2986,2999,3021,3035,3064,3069,3097,3233'

@attribute api_116 {0,1}
@attribute api_118 {0,1}
@attribute api_154 {0,1}
@attribute api_225 {0,1}
@attribute str_17 {0,1}
@attribute str_313 {0,1}
@attribute str_376 {0,1}
@attribute str_391 {0,1}
@attribute str_455 {0,1}
@attribute str_490 {0,1}
@attribute str_681 {0,1}
@attribute str_844 {0,1}
@attribute str_865 {0,1}
@attribute str_872 {0,1}
@attribute str_886 {0,1}
@attribute str_896 {0,1}
@attribute str_935 {0,1}
@attribute str_992 {0,1}
@attribute str_1038 {0,1}
@attribute str_1046 {0,1}
@attribute str_1341 {0,1}
@attribute str_1412 {0,1}
@attribute str_1511 {0,1}
@attribute str_1604 {0,1}
@attribute str_1605 {0,1}
@attribute str_1612 {0,1}
@attribute str_2038 {0,1}
@attribute str_2094 {0,1}
@attribute str_2101 {0,1}
@attribute str_2128 {0,1}
@attribute str_2133 {0,1}
@attribute str_2215 {0,1}
@attribute str_2231 {0,1}
@attribute str_2252 {0,1}
@attribute str_2329 {0,1}
@attribute str_2340 {0,1}
@attribute str_2457 {0,1}
@attribute str_2490 {0,1}
@attribute str_2577 {0,1}
@attribute str_2734 {0,1}
@attribute str_2754 {0,1}
@attribute str_2767 {0,1}
@attribute str_2789 {0,1}
@attribute str_2803 {0,1}
@attribute str_2832 {0,1}
@attribute str_2837 {0,1}
@attribute str_2865 {0,1}
@attribute class {ssh-daemon,ip,cron-daemon,ping,ppp-daemon,tcp-daemon,sqlite3,l2tp-daemon,nvram-get-set,ntp-daemon,webserver,ftp-daemon,iptables,curl,avahi-daemon,wget,telnet-daemon,syslog-daemon,upnp-daemon,busybox,ntp-client,dnsmasq,dhcp-daemon,openssl}

@data
1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,openssl
1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,openssl
0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,openssl
1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,openssl
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,openssl
1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,openssl
0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,openssl
0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,dhcp-daemon
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,dhcp-daemon
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,dhcp-daemon
